iter	Passed	Remaining
400	19418	29007
401	19465	28956
402	19510	28902
403	19552	28844
404	19593	28784
405	19639	28733
406	19708	28715
407	19767	28682
408	19810	28626
409	19858	28576
410	19910	28534
411	19976	28509
412	20027	28464
413	20078	28420
414	20128	28373
415	20170	28315
416	20216	28264
417	20263	28214
418	20306	28157
419	20350	28102
420	20391	28044
421	20437	27992
422	20486	27944
423	20537	27900
424	20583	27847
425	20629	27796
426	20677	27747
427	20725	27698
428	20774	27650
429	20818	27596
430	20861	27540
431	20905	27486
432	20948	27431
433	20994	27380
434	21036	27322
435	21080	27268
436	21125	27216
437	21167	27160
438	21210	27104
439	21252	27048
440	21291	26989
441	21336	26936
442	21380	26882
443	21423	26827
444	21466	26772
445	21506	26714
446	21545	26655
447	21589	26600
448	21633	26547
449	21674	26490
450	21718	26438
451	21763	26386
452	21804	26329
453	21848	26276
454	21892	26223
455	21937	26170
456	21986	26124
457	22045	26089
458	22123	26075
459	22182	26040
460	22231	25993
461	22285	25951
462	22330	25899
463	22376	25848
464	22418	25793
465	22463	25741
466	22503	25683
467	22548	25632
468	22589	25575
469	22636	25525
470	22679	25472
471	22724	25420
472	22770	25370
473	22814	25317
474	22853	25258
475	22900	25209
476	22939	25151
477	22981	25097
478	23026	25046
479	23073	24996
480	23114	24940
481	23156	24886
482	23203	24837
483	23248	24785
484	23293	24733
485	23338	24682
486	23379	24627
487	23423	24575
488	23466	24522
489	23513	24472
490	23557	24421
491	23599	24367
492	23645	24316
493	23695	24271
494	23742	24222
495	23798	24182
496	23844	24132
497	23897	24089
498	23956	24052
499	24038	24038
500	24099	24003
501	24153	23960
502	24203	23915
503	24256	23871
504	24331	23849
505	24402	23823
506	24515	23838
507	24616	23841
508	24711	23838
509	24804	23831
510	24876	23805
511	24946	23777
512	25016	23749
513	25089	23722
514	25141	23676
515	25199	23636
516	25251	23590
517	25307	23548
518	25361	23504
519	25415	23460
520	25467	23414
521	25558	23404
522	25611	23358
523	25669	23318
524	25728	23278
525	25777	23229
526	25829	23182
527	25880	23135
528	25938	23094
529	26004	23061
530	26058	23015
531	26116	22974
532	26175	22934
533	26241	22899
534	26320	22876
535	26383	22839
536	26445	22800
537	26509	22764
538	26574	22728
539	26638	22692
540	26703	22656
541	26767	22619
542	26822	22574
543	26880	22532
544	26930	22483
545	26985	22438
546	27040	22393
547	27109	22360
548	27170	22320
549	27220	22270
550	27277	22227
551	27334	22184
552	27393	22142
553	27444	22094
554	27501	22050
555	27550	22000
556	27598	21949
557	27647	21899
558	27702	21854
559	27753	21806
560	27814	21765
561	27873	21723
562	27922	21673
563	27975	21626
564	28021	21573
565	28068	21522
566	28112	21468
567	28159	21417
568	28212	21369
569	28264	21322
570	28325	21281
571	28378	21233
572	28429	21185
573	28482	21138
574	28537	21092
575	28588	21044
576	28641	20997
577	28700	20954
578	28772	20921
579	28903	20930
580	28989	20906
581	29058	20869
582	29125	20832
583	29208	20805
584	29289	20778
585	29339	20728
586	29394	20681
587	29449	20634
588	29502	20586
589	29552	20536
590	29598	20483
591	29646	20432
592	29698	20383
593	29752	20336
594	29801	20285
595	29851	20234
596	29900	20184
597	29956	20138
598	30018	20095
599	30075	20050
600	30130	20003
601	30195	19963
602	30246	19913
603	30295	19862
604	30341	19810
605	30390	19758
606	30437	19706
607	30484	19654
608	30536	19605
609	30592	19559
610	30645	19510
611	30701	19464
612	30758	19418
613	30818	19374
614	30872	19326
615	30917	19273
616	30958	19217
617	31008	19167
618	31054	19114
619	31103	19063
620	31155	19014
621	31215	18970
622	31278	18927
623	31327	18876
624	31374	18824
625	31425	18774
626	31475	18724
627	31521	18671
628	31567	18619
629	31619	18570
630	31664	18516
631	31714	18466
632	31759	18413
633	31809	18363
634	31858	18312
635	31907	18261
636	31953	18209
637	32001	18157
638	32050	18106
639	32094	18052
640	32140	18000
641	32186	17948
642	32227	17893
643	32272	17840
644	32322	17789
645	32368	17737
646	32417	17686
647	32464	17634
648	32511	17583
649	32557	17530
650	32602	17477
651	32643	17423
652	32689	17371
653	32738	17320
654	32785	17268
655	32830	17215
656	32880	17165
657	32930	17115
658	32980	17065
659	33023	17012
660	33065	16957
661	33113	16907
662	33160	16855
663	33209	16804
664	33258	16754
665	33308	16704
666	33354	16652
667	33403	16601
668	33450	16550
669	33493	16496
670	33541	16445
671	33589	16394
672	33638	16344
673	33680	16290
674	33725	16238
675	33773	16187
676	33819	16135
677	33867	16084
678	33923	16037
679	33984	15992
680	34045	15948
681	34095	15898
682	34146	15848
683	34201	15800
684	34254	15752
685	34306	15703
686	34363	15656
687	34432	15614
688	34499	15572
689	34564	15529
690	34617	15480
691	34679	15435
692	34732	15386
693	34777	15334
694	34825	15282
695	34870	15231
696	34919	15180
697	34978	15133
698	35034	15086
699	35089	15038
700	35139	14988
701	35193	14939
702	35244	14889
703	35291	14838
704	35332	14784
705	35379	14733
706	35425	14681
707	35476	14631
708	35522	14579
709	35570	14528
710	35611	14474
711	35654	14421
712	35701	14370
713	35752	14321
714	35796	14268
715	35845	14218
716	35890	14165
717	35943	14117
718	35994	14067
719	36043	14016
720	36096	13967
721	36141	13916
722	36187	13864
723	36235	13813
724	36281	13761
725	36331	13711
726	36381	13661
727	36428	13610
728	36476	13559
729	36520	13507
730	36562	13454
731	36608	13403
732	36654	13351
733	36706	13302
734	36754	13251
735	36803	13201
736	36848	13149
737	36895	13098
738	36938	13046
739	36985	12995
740	37032	12943
741	37078	12892
742	37117	12838
743	37167	12788
744	37211	12736
745	37263	12687
746	37309	12636
747	37410	12603
748	37477	12559
749	37532	12510
750	37586	12462
751	37647	12415
752	37704	12367
753	37749	12316
754	37801	12266
755	37846	12215
756	37894	12164
757	37940	12112
758	37988	12062
759	38038	12012
760	38084	11960
761	38132	11910
762	38184	11860
763	38236	11811
764	38281	11759
765	38330	11709
766	38373	11657
767	38427	11608
768	38471	11556
769	38518	11505
770	38565	11454
771	38611	11403
772	38661	11353
773	38707	11302
774	38751	11250
775	38799	11199
776	38843	11148
777	38890	11097
778	38938	11046
779	38991	10997
780	39037	10946
781	39082	10895
782	39123	10842
783	39172	10792
784	39215	10740
785	39262	10689
786	39310	10639
787	39354	10587
788	39404	10537
789	39457	10488
790	39498	10436
791	39547	10386
792	39600	10337
793	39658	10289
794	39712	10240
795	39757	10189
796	39798	10136
797	39842	10085
798	39898	10037
799	39951	9987
800	40007	9939
801	40061	9890
802	40112	9840
803	40164	9791
804	40208	9739
805	40250	9688
806	40292	9636
807	40340	9585
808	40390	9536
809	40432	9484
810	40477	9433
811	40526	9382
812	40569	9331
813	40618	9281
814	40666	9230
815	40710	9179
816	40759	9129
817	40807	9079
818	40849	9027
819	40898	8977
820	40941	8926
821	40989	8875
822	41038	8826
823	41082	8774
824	41128	8724
825	41169	8672
826	41215	8621
827	41259	8570
828	41306	8520
829	41356	8470
830	41395	8418
831	41437	8367
832	41479	8315
833	41527	8265
834	41572	8215
835	41623	8165
836	41666	8114
837	41707	8062
838	41757	8013
839	41801	7962
840	41845	7911
841	41895	7861
842	41937	7810
843	41981	7759
844	42023	7708
845	42064	7657
846	42105	7605
847	42151	7555
848	42195	7504
849	42240	7454
850	42284	7403
851	42336	7354
852	42386	7304
853	42436	7255
854	42485	7205
855	42536	7155
856	42583	7105
857	42630	7055
858	42685	7006
859	42754	6959
860	42813	6911
861	42869	6863
862	42917	6813
863	42975	6764
864	43031	6715
865	43083	6666
866	43131	6616
867	43184	6567
868	43234	6517
869	43281	6467
870	43331	6417
871	43384	6368
872	43429	6317
873	43477	6267
874	43531	6218
875	43581	6169
876	43637	6120
877	43698	6071
878	43758	6023
879	43819	5975
880	43871	5925
881	43918	5875
882	43959	5824
883	44008	5774
884	44058	5725
885	44099	5674
886	44148	5624
887	44200	5574
888	44251	5525
889	44304	5475
890	44355	5426
891	44404	5376
892	44447	5325
893	44497	5275
894	44541	5225
895	44590	5175
896	44637	5125
897	44688	5075
898	44729	5025
899	44784	4976
900	44835	4926
901	44887	4876
902	44933	4826
903	44983	4776
904	45034	4727
905	45083	4677
906	45127	4627
907	45171	4576
908	45216	4526
909	45263	4476
910	45311	4426
911	45358	4376
912	45405	4326
913	45453	4276
914	45500	4226
915	45585	4180
916	45662	4132
917	45704	4082
918	45748	4032
919	45798	3982
920	45844	3932
921	45894	3882
922	45942	3832
923	45985	3782
924	46028	3732
925	46078	3682
926	46123	3632
927	46172	3582
928	46214	3532
929	46315	3486
930	46361	3435
931	46407	3385
932	46451	3335
933	46493	3285
934	46540	3235
935	46590	3185
936	46640	3135
937	46682	3085
938	46731	3035
939	46772	2985
940	46820	2935
941	46861	2885
942	46908	2835
943	46954	2785
944	47003	2735
945	47050	2685
946	47093	2635
947	47142	2585
948	47190	2536
949	47237	2486
950	47283	2436
951	47329	2386
952	47372	2336
953	47420	2286
954	47467	2236
955	47515	2186
956	47562	2137
957	47607	2087
958	47649	2037
959	47694	1987
960	47738	1937
961	47785	1887
962	47832	1837
963	47875	1787
964	47922	1738
965	47972	1688
966	48014	1638
967	48056	1588
968	48103	1538
969	48144	1489
970	48192	1439
971	48238	1389
972	48280	1339
973	48331	1290
974	48377	1240
975	48431	1190
976	48485	1141
977	48544	1091
978	48603	1042
979	48655	992
980	48699	943
981	48746	893
982	48787	843
983	48841	794
984	48891	744
985	48942	694
986	48983	645
987	49024	595
988	49069	545
989	49130	496
990	49184	446
991	49240	397
992	49295	347
993	49349	297
994	49397	248
995	49443	198
996	49490	148
997	49538	99
998	49592	49
999	49663	0
