iter	MultiClass
0	1.562793867
1	1.343281068
2	1.166138344
3	1.035345531
4	0.9400132374
5	0.8657508379
6	0.790856027
7	0.7224643956
8	0.6714726479
9	0.6276077136
10	0.5857835628
11	0.5512120232
12	0.5174559118
13	0.4822451196
14	0.4509377263
15	0.4205102334
16	0.3932115959
17	0.3693523155
18	0.3477676802
19	0.3263947431
20	0.3086318598
21	0.2928532511
22	0.2790849432
23	0.2663780479
24	0.2540454761
25	0.2422417848
26	0.2309694449
27	0.2227124693
28	0.2153345757
29	0.2071879771
30	0.200907465
31	0.1956757387
32	0.1895951841
33	0.1853337601
34	0.179322717
35	0.1732407925
36	0.1683183557
37	0.1605648875
38	0.1547377386
39	0.1506122255
40	0.148061702
41	0.1453233471
42	0.1398023771
43	0.1363127416
44	0.131677637
45	0.128231948
46	0.1253755757
47	0.1243598571
48	0.1216573913
49	0.1163577915
50	0.1140412576
51	0.1110958607
52	0.1075847616
53	0.1060077988
54	0.1038142082
55	0.1020163435
56	0.09907711286
57	0.09782294758
58	0.09601233876
59	0.09415239866
60	0.09283781689
61	0.09190129384
62	0.08959054921
63	0.08837726478
64	0.08676356728
65	0.08544849424
66	0.08393561659
67	0.08207323339
68	0.08106257806
69	0.07978487258
70	0.07919330584
71	0.07872793601
72	0.07802654391
73	0.07696612294
74	0.07599614468
75	0.07565356435
76	0.07511214851
77	0.07425495147
78	0.07320500734
79	0.07225815729
80	0.07146897627
81	0.07051408235
82	0.06930045449
83	0.06857516895
84	0.06786825804
85	0.06610725758
86	0.065618342
87	0.06468807059
88	0.0638008269
89	0.06286044191
90	0.06252047654
91	0.06225364275
92	0.06124476917
93	0.06034588637
94	0.0598814146
95	0.05931494479
96	0.05875836068
97	0.05780611986
98	0.05729472204
99	0.0567582596
100	0.0555401224
101	0.05480828901
102	0.05447772548
103	0.05354370757
104	0.0530142533
105	0.05251833994
106	0.0514800364
107	0.05112182463
108	0.05027965993
109	0.05005010411
110	0.04945167359
111	0.0488532164
112	0.04861532339
113	0.0483725237
114	0.04778995135
